Supplier Code,Product ID #,Product Name,Product Description,Imprint Size,Color Name,Color Value,Inventory Level,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code,Quantity Min,Quantity Max,Price,Discount Code
Spector,00BB1500ORG,"Happy hands and self-care at home and on the go!
<br>
for the urban warrior, theres a make it pop + clarity bundle for you!
<br>
<br>
*hw902 forza face mask is not sold separately and cannot be decorated.
<br>
<br>
<strong>
bundle includes:
</strong>
<br>
bg202 make it pop packable duffle
<br>
hw902 forza face mask*
<br>
hw906c antiseptic hand sanitizer gel with tropical coconut scent 2 fl oz / 60 ml",Orange,#FF9E1B,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1500RED,"Happy hands and self-care at home and on the go!
<br>
for the urban warrior, theres a make it pop + clarity bundle for you!
<br>
<br>
*hw902 forza face mask is not sold separately and cannot be decorated.
<br>
<br>
<strong>
bundle includes:
</strong>
<br>
bg202 make it pop packable duffle
<br>
hw902 forza face mask*
<br>
hw906c antiseptic hand sanitizer gel with tropical coconut scent 2 fl oz / 60 ml",Red,#BA0C2F,0,,,,,,,,,,,,,,,,,,,,
Spector,BB151,Make it pop + clarity happy hands at the grocery store 4-piece bundle,"Happy hands and self-care at home and on the go!
<br>
for the urban warrior, theres a make it pop + clarity bundle for you!
<br>
<br>
*hw902 forza face mask is not sold separately and cannot be decorated.
<br>
<br>
<strong>
bundle includes:
</strong>
<br>
bg100 make it pop packable backpack
<br>
hw902 forza face mask*
<br>
hw903 kagi aluminum touch-free keychain
<br>
hw906c antiseptic hand sanitizer gel with tropical coconut scent 2 fl oz / 60 ml",,,,,22,74,38.5,C,75,174,36.5,C,175,274,35.75,C,275,349,34.5,C,350,700,32.5,C
Spector,00BB1510BLK,"Happy hands and self-care at home and on the go!
<br>
for the urban warrior, theres a make it pop + clarity bundle for you!
<br>
<br>
*hw902 forza face mask is not sold separately and cannot be decorated.
<br>
<br>
<strong>
bundle includes:
</strong>
<br>
bg100 make it pop packable backpack
<br>
hw902 forza face mask*
<br>
hw903 kagi aluminum touch-free keychain
<br>
hw906c antiseptic hand sanitizer gel with tropical coconut scent 2 fl oz / 60 ml",Black,#2D2926,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1510BLU,"Happy hands and self-care at home and on the go!
<br>
for the urban warrior, theres a make it pop + clarity bundle for you!
<br>
<br>
*hw902 forza face mask is not sold separately and cannot be decorated.
<br>
<br>
<strong>
bundle includes:
</strong>
<br>
bg100 make it pop packable backpack
<br>
hw902 forza face mask*
<br>
hw903 kagi aluminum touch-free keychain
<br>
hw906c antiseptic hand sanitizer gel with tropical coconut scent 2 fl oz / 60 ml",Blue,#1E22AA,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1510ORG,"Happy hands and self-care at home and on the go!
<br>
for the urban warrior, theres a make it pop + clarity bundle for you!
<br>
<br>
*hw902 forza face mask is not sold separately and cannot be decorated.
<br>
<br>
<strong>
bundle includes:
</strong>
<br>
bg100 make it pop packable backpack
<br>
hw902 forza face mask*
<br>
hw903 kagi aluminum touch-free keychain
<br>
hw906c antiseptic hand sanitizer gel with tropical coconut scent 2 fl oz / 60 ml",Orange,#FF9E1B,0,,,,,,,,,,,,,,,,,,,,
Spector,00BB1510RED,"Happy hands and self-care at home and on the go!
<br>
for the urban warrior, theres a make it pop + clarity bundle for you!
<br>
<br>
*hw902 forza face mask is not sold separately and cannot be decorated.
<br>
<br>
<strong>
bundle includes:
</strong>
<br>
bg100 make it pop packable backpack
<br>
hw902 forza face mask*
<br>
hw903 kagi aluminum touch-free keychain
<br>
hw906c antiseptic hand sanitizer gel with tropical coconut scent 2 fl oz / 60 ml",Red,#BA0C2F,0,,,,,,,,,,,,,,,,,,,,
Spector,BB152,Call of the wild + clarity daytripping 2-piece kit,"<p>
from daytripping, to snacking and trekking, to camping and glamping, spector & co. Cares about your well-being and has partnered with ecotrail* to keep you safe.
</p>
<p>
whether you are a nature enthusiast, an urban warrior, a nature lover or an adrenaline junkie, theres a call of the wild + clarity bundle for you!
</p>
<p>
*ecotrail products are made without deet, gluten, gmo and synthetic ingredients.
<br>
*ecotrail products are not sold separately and cannot be decorated.
</p>
<br>
kit includes:
<br>
bg706 call of the wild water resistant accessory case
<br>
hw907 ecotrail outdoor soap 3.5 oz / 100 g",,,,,25,59,35.5,C,60,129,33.75,C,130,179,32.5,C,180,299,31,C,300,600,29.5,C
Spector,00BB1520BLK,"<p>
from daytripping, to snacking and trekking, to camping and glamping, spector & co. Cares about your well-being and has partnered with ecotrail* to keep you safe.
</p>
<p>
whether you are a nature enthusiast, an urban warrior, a nature lover or an adrenaline junkie, theres a call of the wild + clarity bundle for you!
</p>
<p>
*ecotrail products are made without deet, gluten, gmo and synthetic ingredients.
<br>
*ecotrail products are not sold separately and cannot be decorated.
</p>
<br>
kit includes:
<br>
bg706 call of the wild water resistant accessory case
<br>
hw907 ecotrail outdoor soap 3.5 oz / 100 g",Black,#2D2926,742,,,,,,,,,,,,,,,,,,,,
Spector,00BB1520GRY,"<p>
from daytripping, to snacking and trekking, to camping and glamping, spector & co. Cares about your well-being and has partnered with ecotrail* to keep you safe.
</p>
<p>
whether you are a nature enthusiast, an urban warrior, a nature lover or an adrenaline junkie, theres a call of the wild + clarity bundle for you!
</p>
<p>
*ecotrail products are made without deet, gluten, gmo and synthetic ingredients.
<br>
*ecotrail products are not sold separately and cannot be decorated.
</p>
<br>
kit includes:
<br>
bg706 call of the wild water resistant accessory case
<br>
hw907 ecotrail outdoor soap 3.5 oz / 100 g",Grey,#9EA6B4,742,,,,,,,,,,,,,,,,,,,,
